alpha,feature,coefficient
1.4208308325339238,s3,-0.8538069768464329
1.4208308325339238,s4,2.8959224234949974
1.4208308325339238,s5,35.04369957285968
1.4208308325339238,s6,2.29760668178126
1.4208308325339238,bmi_x_bp,6.784872012452809
1.4208308325339238,bmi_x_s5,1.2177736202207732
1.4208308325339238,s1_minus_s2,-14.178903321836199
1.4208308325339238,s3_x_s4,-4.416072963933665
1.8671810912919207,age,2.6024101687611636
1.8671810912919207,sex,-11.87192783765974
1.8671810912919207,bmi,24.504342304761906
1.8671810912919207,bp,15.580118687304239
1.8671810912919207,s1,-9.4382792417704
1.8671810912919207,s2,-3.0649363952076647
1.8671810912919207,s3,-1.3910127855526595
1.8671810912919207,s4,2.775984784711773
1.8671810912919207,s5,34.49834824129367
1.8671810912919207,s6,2.3283593514444094
1.8671810912919207,bmi_x_bp,6.789792739718429
1.8671810912919207,bmi_x_s5,1.177080300884698
1.8671810912919207,s1_minus_s2,-13.697253371827223
1.8671810912919207,s3_x_s4,-4.422029426667714
2.4537511066398165,age,2.607852652590988
2.4537511066398165,sex,-11.84842025347945
